id_x,id_cliente,producto,cantidad,precio,fecha,region,canal,costo_unitario,total,margen,id_y,nombre,ciudad,segmento
59,8378,C,10,111.17,2023-12-13,Este,Distribuidor,55.87,1111.7,553.0,8378,Cliente_8378,Zaragoza,Premium
60,10301,E,13,119.38,2023-04-13,Centro,Online,53.56,1551.94,855.6599999999999,,,,
61,4692,B,19,111.49,2023-06-24,Sur,Mayorista,36.3,2118.31,1428.61,4692,Cliente_4692,Sevilla,Premium
62,1035,D,9,247.64,2023-08-04,Norte,Distribuidor,145.98,2228.7599999999998,914.9399999999999,1035,Cliente_1035,Bilbao,Premium
63,10492,C,4,284.71,2023-08-29,Norte,Mayorista,121.96,1138.84,651.0,,,,
64,1727,A,1,13.51,2023-01-20,Sur,Tienda,8.86,13.51,4.65,1727,Cliente_1727,MÃ¡laga,Premium
65,2292,C,10,108.78,2023-02-24,Sur,Tienda,50.8,1087.8,579.8000000000001,2292,Cliente_2292,Sevilla,Premium
66,8390,B,6,116.11,2023-10-12,Este,Mayorista,80.17,696.66,215.64,8390,Cliente_8390,Sevilla,Premium
67,2692,B,7,207.6,2023-07-31,Sur,Tienda,88.81,1453.2,831.53,2692,Cliente_2692,Zaragoza,Premium
68,7780,A,20,57.67,2023-05-17,Este,Tienda,26.36,1153.4,626.2,7780,Cliente_7780,Madrid,Standard
69,8906,E,15,431.63,2023-09-14,Norte,Tienda,239.79,6474.45,2877.6,8906,Cliente_8906,Madrid,Standard
70,9921,D,5,54.71,2023-10-02,Este,Online,20.24,273.55,172.35,9921,Cliente_9921,Barcelona,BÃ¡sico
71,6443,C,11,99.14,2023-08-01,Centro,Tienda,58.19,1090.54,450.45000000000005,6443,Cliente_6443,Bilbao,Premium
72,9219,A,2,354.32,2023-06-24,Oeste,Tienda,141.35,708.64,425.94,9219,Cliente_9219,Valencia,Premium
73,3281,C,3,353.09,2023-05-31,Este,Mayorista,242.51,1059.27,331.73999999999995,3281,Cliente_3281,Madrid,BÃ¡sico
74,9162,B,13,366.14,2023-11-19,Oeste,Tienda,238.55,4759.82,1658.6699999999996,9162,Cliente_9162,Madrid,Standard
77,6423,E,19,286.9,2023-04-22,Centro,Tienda,200.62,5451.099999999999,1639.3199999999995,6423,Cliente_6423,Bilbao,BÃ¡sico
78,2021,E,20,444.02,2023-05-29,Centro,Distribuidor,154.11,8880.4,5798.199999999999,2021,Cliente_2021,MÃ¡laga,Standard
79,3842,E,2,481.79,2023-12-23,Norte,Tienda,162.08,963.58,639.4200000000001,3842,Cliente_3842,Sevilla,Premium
81,3453,B,6,169.95,2023-08-31,Norte,Online,106.38,1019.6999999999999,381.41999999999996,3453,Cliente_3453,Valencia,BÃ¡sico
82,9905,E,13,203.91,2023-08-10,Centro,Mayorista,129.14,2650.83,972.0100000000001,9905,Cliente_9905,Zaragoza,Standard
83,4401,D,2,110.2,2023-03-24,Norte,Tienda,63.65,220.4,93.10000000000001,4401,Cliente_4401,MÃ¡laga,BÃ¡sico
84,5809,C,2,432.3,2023-12-25,Centro,Mayorista,165.44,864.6,533.72,5809,Cliente_5809,Sevilla,Standard
86,8115,B,1,37.87,2023-12-15,Norte,Online,20.04,37.87,17.83,8115,Cliente_8115,Bilbao,Standard
87,680,E,20,280.83,2023-10-24,Este,Distribuidor,152.54,5616.599999999999,2565.7999999999997,680,Cliente_680,Zaragoza,Premium
88,5436,B,9,434.49,2023-05-11,Sur,Online,228.95,3910.41,1849.8600000000001,5436,Cliente_5436,Valencia,Premium
89,5463,B,3,87.7,2023-06-26,Centro,Distribuidor,31.18,263.1,169.56,5463,Cliente_5463,MÃ¡laga,Premium
90,81,A,16,379.51,2023-10-10,Norte,Mayorista,201.03,6072.16,2855.68,81,Cliente_81,Bilbao,BÃ¡sico
91,10139,A,10,294.45,2023-06-04,Norte,Mayorista,181.09,2944.5,1133.6,,,,
92,9149,B,2,177.59,2023-12-12,Este,Distribuidor,104.08,355.18,147.02,9149,Cliente_9149,Madrid,Premium
93,9854,D,7,345.58,2023-05-11,Norte,Online,160.62,2419.06,1294.7199999999998,9854,Cliente_9854,Bilbao,Premium
94,7410,B,8,72.15,2023-12-25,Centro,Online,27.76,577.2,355.12,7410,Cliente_7410,Barcelona,BÃ¡sico
95,6519,B,9,11.49,2023-05-10,Norte,Tienda,6.7,103.41,43.11,6519,Cliente_6519,Madrid,Premium
96,4530,E,7,73.42,2023-12-25,Oeste,Mayorista,27.48,513.94,321.58,4530,Cliente_4530,Madrid,Standard
97,7087,A,5,254.04,2023-10-19,Norte,Tienda,107.37,1270.2,733.3499999999999,7087,Cliente_7087,Valencia,Premium
99,2645,E,14,8.97,2023-12-28,Norte,Distribuidor,3.98,125.58000000000001,69.86,2645,Cliente_2645,Bilbao,Standard
100,1664,E,10,416.35,2023-02-09,Norte,Distribuidor,160.42,4163.5,2559.3,1664,Cliente_1664,Bilbao,BÃ¡sico
101,1922,C,4,222.73,2023-04-15,Sur,Distribuidor,66.97,890.92,623.04,1922,Cliente_1922,Sevilla,Premium
102,6378,B,20,30.46,2023-08-28,Oeste,Mayorista,11.33,609.2,382.6,6378,Cliente_6378,Valencia,Premium
103,6026,D,2,103.16,2023-03-12,Norte,Tienda,40.86,206.32,124.6,6026,Cliente_6026,Bilbao,BÃ¡sico
104,407,C,5,8.66,2023-07-15,Centro,Distribuidor,5.24,43.3,17.1,407,Cliente_407,Sevilla,Premium
105,1101,A,7,99.47,2023-02-21,Este,Tienda,49.86,696.29,347.27,1101,Cliente_1101,Zaragoza,Standard
106,9998,C,17,148.89,2023-03-22,Sur,Distribuidor,56.43,2531.1299999999997,1571.8199999999997,9998,Cliente_9998,Zaragoza,Standard
107,6029,A,6,154.8,2023-10-31,Centro,Tienda,86.19,928.8000000000001,411.6600000000001,6029,Cliente_6029,Sevilla,BÃ¡sico
108,5099,B,3,347.25,2023-02-08,Este,Distribuidor,131.4,1041.75,647.55,5099,Cliente_5099,Bilbao,Standard
109,6213,B,2,218.89,2023-07-25,Este,Distribuidor,127.47,437.78,182.83999999999997,6213,Cliente_6213,Madrid,Premium
110,5386,C,9,46.32,2023-03-28,Sur,Online,30.23,416.88,144.81,5386,Cliente_5386,Zaragoza,BÃ¡sico
112,4189,C,13,300.06,2023-08-13,Oeste,Mayorista,209.86,3900.78,1172.6,4189,Cliente_4189,Valencia,Premium
113,3625,E,3,176.53,2023-09-12,Norte,Distribuidor,120.37,529.59,168.48,3625,Cliente_3625,Zaragoza,BÃ¡sico
114,4726,A,6,48.73,2023-06-15,Este,Tienda,19.71,292.38,174.11999999999998,4726,Cliente_4726,Sevilla,BÃ¡sico
116,10394,C,6,15.36,2023-10-20,Norte,Mayorista,4.71,92.16,63.89999999999999,,,,
117,5673,D,19,67.06,2023-04-13,Oeste,Mayorista,45.13,1274.14,416.67,5673,Cliente_5673,Bilbao,BÃ¡sico
118,1215,C,12,97.81,2023-12-17,Este,Mayorista,48.37,1173.72,593.2800000000001,1215,Cliente_1215,Sevilla,BÃ¡sico
119,8351,E,15,325.7,2023-08-10,Oeste,Mayorista,179.73,4885.5,2189.55,8351,Cliente_8351,Bilbao,Standard
120,3047,D,16,196.27,2023-12-30,Sur,Tienda,65.87,3140.32,2086.4,3047,Cliente_3047,MÃ¡laga,Premium
121,3809,D,4,107.03,2023-11-11,Centro,Online,67.64,428.12,157.56,3809,Cliente_3809,MÃ¡laga,Premium
122,20,D,13,89.65,2023-03-03,Centro,Distribuidor,57.62,1165.45,416.3900000000001,20,Cliente_20,Madrid,Premium
123,4639,C,17,313.43,2023-03-03,Este,Distribuidor,213.24,5328.31,1703.23,4639,Cliente_4639,Barcelona,Standard
124,6813,E,6,370.81,2023-05-25,Centro,Mayorista,133.53,2224.86,1423.68,6813,Cliente_6813,Madrid,Premium
125,480,B,16,410.47,2023-03-22,Centro,Distribuidor,239.83,6567.52,2730.2400000000002,480,Cliente_480,Valencia,Premium
126,1174,A,2,156.89,2023-10-17,Oeste,Distribuidor,105.78,313.78,102.21999999999997,1174,Cliente_1174,Barcelona,Premium
128,8965,D,1,254.82,2023-10-19,Norte,Online,148.15,254.82,106.66999999999999,8965,Cliente_8965,Zaragoza,BÃ¡sico
129,3647,A,15,146.37,2023-02-10,Sur,Tienda,56.36,2195.55,1350.15,3647,Cliente_3647,Valencia,Premium
130,2277,C,16,452.46,2023-11-23,Centro,Mayorista,284.29,7239.36,2690.7199999999993,2277,Cliente_2277,Zaragoza,BÃ¡sico
131,2283,A,4,298.31,2023-08-26,Sur,Online,183.69,1193.24,458.48,2283,Cliente_2283,MÃ¡laga,Standard
132,3974,B,17,188.99,2023-04-24,Sur,Mayorista,109.52,3212.83,1350.9900000000002,3974,Cliente_3974,Madrid,Standard
133,3951,E,19,315.11,2023-09-12,Oeste,Online,177.9,5987.09,2606.9900000000002,3951,Cliente_3951,Madrid,Premium
134,9857,D,17,82.88,2023-07-19,Oeste,Online,25.12,1408.96,981.9199999999998,9857,Cliente_9857,Sevilla,Premium
135,9034,B,5,358.57,2023-10-31,Oeste,Distribuidor,151.26,1792.85,1036.55,9034,Cliente_9034,Barcelona,Premium
136,4264,C,12,399.14,2023-08-24,Este,Online,184.07,4789.68,2580.84,4264,Cliente_4264,Bilbao,BÃ¡sico
137,381,C,2,194.15,2023-12-13,Centro,Mayorista,105.96,388.3,176.38000000000002,381,Cliente_381,Madrid,BÃ¡sico
138,2022,B,14,295.87,2023-01-26,Sur,Tienda,89.96,4142.18,2882.7400000000002,2022,Cliente_2022,MÃ¡laga,Premium
139,78,B,7,261.27,2023-10-27,Norte,Mayorista,138.91,1828.8899999999999,856.5199999999999,78,Cliente_78,Valencia,BÃ¡sico
140,9007,D,2,62.51,2023-10-30,Oeste,Online,19.28,125.02,86.46,9007,Cliente_9007,Madrid,BÃ¡sico
141,5532,C,14,497.87,2023-10-20,Este,Tienda,205.69,6970.18,4090.52,5532,Cliente_5532,MÃ¡laga,Standard
142,2799,B,18,223.3,2023-10-20,Centro,Tienda,113.44,4019.4,1977.4800000000002,2799,Cliente_2799,Madrid,Premium
143,4321,D,3,382.28,2023-02-14,Oeste,Online,261.72,1146.84,361.67999999999984,4321,Cliente_4321,Madrid,BÃ¡sico
145,7010,E,7,120.16,2023-02-23,Sur,Distribuidor,79.32,841.12,285.88,7010,Cliente_7010,Valencia,Standard
146,5246,A,9,243.98,2023-01-20,Sur,Distribuidor,88.69,2195.8199999999997,1397.61,5246,Cliente_5246,Valencia,Premium
147,6790,E,10,427.25,2023-05-18,Norte,Mayorista,287.3,4272.5,1399.5,6790,Cliente_6790,Valencia,Premium
148,8751,A,11,109.12,2023-08-09,Sur,Mayorista,35.93,1200.3200000000002,805.0899999999999,8751,Cliente_8751,Sevilla,Standard
149,1944,D,8,208.63,2023-07-30,Centro,Mayorista,71.47,1669.04,1097.28,1944,Cliente_1944,Zaragoza,BÃ¡sico
150,3115,A,19,89.45,2023-02-21,Norte,Online,50.05,1699.55,748.6000000000001,3115,Cliente_3115,Madrid,BÃ¡sico
151,5545,A,10,263.1,2023-02-20,Centro,Mayorista,175.3,2631.0,878.0000000000001,5545,Cliente_5545,MÃ¡laga,Premium
152,872,A,12,51.41,2023-03-09,Sur,Mayorista,22.37,616.92,348.47999999999996,872,Cliente_872,Sevilla,BÃ¡sico
153,9701,B,16,485.98,2023-09-19,Centro,Tienda,198.41,7775.68,4601.120000000001,9701,Cliente_9701,Zaragoza,BÃ¡sico
154,789,B,4,271.24,2023-06-22,Oeste,Online,124.67,1084.96,586.28,789,Cliente_789,Zaragoza,BÃ¡sico
155,6268,D,4,200.63,2023-02-18,Oeste,Online,132.1,802.52,274.12,6268,Cliente_6268,MÃ¡laga,Standard
157,3257,B,17,422.66,2023-06-07,Oeste,Distribuidor,185.65,7185.22,4029.1700000000005,3257,Cliente_3257,Bilbao,Premium
158,1454,D,8,11.25,2023-04-30,Norte,Tienda,5.7,90.0,44.4,1454,Cliente_1454,Madrid,BÃ¡sico
159,1547,C,2,111.71,2023-09-19,Sur,Mayorista,71.75,223.42,79.91999999999999,1547,Cliente_1547,Bilbao,BÃ¡sico
161,10270,C,4,296.41,2023-10-16,Oeste,Online,199.43,1185.64,387.9200000000001,,,,
162,258,E,2,381.56,2023-08-20,Oeste,Online,169.37,763.12,424.38,258,Cliente_258,Valencia,BÃ¡sico
163,1003,C,19,132.87,2023-02-15,Norte,Online,51.26,2524.53,1550.5900000000001,1003,Cliente_1003,Zaragoza,Standard
164,7263,A,12,389.15,2023-09-02,Norte,Distribuidor,133.29,4669.799999999999,3070.3199999999997,7263,Cliente_7263,Zaragoza,Standard
165,6586,D,8,280.4,2023-06-09,Centro,Online,193.35,2243.2,696.3999999999999,6586,Cliente_6586,Bilbao,Premium
166,9820,E,4,263.49,2023-06-08,Centro,Tienda,135.39,1053.96,512.4000000000001,9820,Cliente_9820,Zaragoza,BÃ¡sico
169,9351,D,6,207.91,2023-03-20,Norte,Tienda,141.41,1247.46,399.0,9351,Cliente_9351,Zaragoza,Standard
170,4465,A,9,294.19,2023-09-02,Sur,Online,161.7,2647.71,1192.41,4465,Cliente_4465,MÃ¡laga,Standard
171,1025,D,12,222.25,2023-09-27,Oeste,Online,78.6,2667.0,1723.8000000000002,1025,Cliente_1025,Valencia,Premium
172,8939,E,17,397.92,2023-04-21,Este,Mayorista,266.23,6764.64,2238.73,8939,Cliente_8939,Zaragoza,BÃ¡sico
173,836,D,9,404.31,2023-01-21,Este,Distribuidor,266.23,3638.79,1242.7199999999998,836,Cliente_836,Zaragoza,BÃ¡sico
174,2604,D,10,416.69,2023-06-27,Oeste,Mayorista,196.41,4166.9,2202.8,2604,Cliente_2604,Barcelona,BÃ¡sico
175,6473,A,14,197.93,2023-06-21,Oeste,Tienda,124.47,2771.02,1028.44,6473,Cliente_6473,MÃ¡laga,Standard
176,2300,A,15,24.3,2023-02-23,Centro,Tienda,13.37,364.5,163.95000000000002,2300,Cliente_2300,Sevilla,Premium
177,9286,E,11,99.92,2023-08-05,Oeste,Online,65.32,1099.1200000000001,380.6000000000001,9286,Cliente_9286,Valencia,Standard
178,2989,B,10,183.96,2023-06-26,Oeste,Distribuidor,57.27,1839.6000000000001,1266.9,2989,Cliente_2989,Madrid,BÃ¡sico
179,3894,E,19,97.83,2023-11-27,Este,Tienda,45.7,1858.77,990.4699999999999,3894,Cliente_3894,MÃ¡laga,BÃ¡sico
181,2377,D,19,84.72,2023-10-04,Este,Online,54.83,1609.68,567.91,2377,Cliente_2377,Zaragoza,Premium
182,55,B,7,36.95,2023-10-26,Centro,Online,11.29,258.65000000000003,179.62000000000003,55,Cliente_55,Valencia,Standard
183,121,D,15,28.48,2023-06-26,Centro,Mayorista,19.02,427.2,141.9,121,Cliente_121,MÃ¡laga,Standard
185,2426,E,14,417.88,2023-09-08,Norte,Tienda,227.42,5850.32,2666.44,2426,Cliente_2426,Madrid,Premium
186,2344,E,14,342.69,2023-10-16,Norte,Mayorista,156.94,4797.66,2600.5,2344,Cliente_2344,Valencia,BÃ¡sico
187,1115,A,18,389.98,2023-09-22,Sur,Distribuidor,199.77,7019.64,3423.78,1115,Cliente_1115,Madrid,Standard
188,8861,D,4,97.9,2023-10-28,Oeste,Tienda,36.96,391.6,243.76000000000002,8861,Cliente_8861,Sevilla,Standard
189,7293,A,15,337.53,2023-08-22,Oeste,Mayorista,156.76,5062.95,2711.5499999999997,7293,Cliente_7293,Barcelona,Premium
190,9348,D,5,354.77,2023-11-15,Norte,Mayorista,206.8,1773.85,739.8499999999999,9348,Cliente_9348,MÃ¡laga,BÃ¡sico
192,5373,D,14,417.05,2023-01-19,Este,Tienda,259.34,5838.7,2207.9400000000005,5373,Cliente_5373,Valencia,Premium
193,7742,A,10,172.23,2023-06-14,Oeste,Online,109.72,1722.3,625.0999999999999,7742,Cliente_7742,Barcelona,Standard
194,8754,E,17,44.77,2023-12-04,Oeste,Distribuidor,24.03,761.09,352.58000000000004,8754,Cliente_8754,Zaragoza,Standard
195,6030,B,3,432.65,2023-10-21,Norte,Online,140.57,1297.9499999999998,876.24,6030,Cliente_6030,Sevilla,Premium
196,4561,C,2,419.77,2023-03-28,Norte,Tienda,266.35,839.54,306.8399999999999,4561,Cliente_4561,Valencia,BÃ¡sico
198,4800,D,9,198.25,2023-09-30,Oeste,Online,126.14,1784.25,648.99,4800,Cliente_4800,MÃ¡laga,Premium
199,3031,D,5,111.75,2023-04-27,Sur,Tienda,59.02,558.75,263.65,3031,Cliente_3031,Zaragoza,Standard
200,3964,C,9,156.38,2023-07-23,Centro,Mayorista,62.49,1407.42,845.0099999999999,3964,Cliente_3964,Sevilla,Premium
201,2927,E,1,418.37,2023-06-14,Este,Distribuidor,142.53,418.37,275.84000000000003,2927,Cliente_2927,Madrid,Premium
203,9358,E,20,307.36,2023-05-23,Oeste,Distribuidor,149.42,6147.200000000001,3158.8000000000006,9358,Cliente_9358,Sevilla,Standard
205,2671,B,12,162.66,2023-02-05,Norte,Tienda,50.48,1951.92,1346.16,2671,Cliente_2671,MÃ¡laga,BÃ¡sico
206,7433,C,18,380.26,2023-07-11,Norte,Tienda,230.46,6844.68,2696.3999999999996,7433,Cliente_7433,Valencia,BÃ¡sico
208,7354,C,15,448.51,2023-08-11,Sur,Online,154.94,6727.65,4403.55,7354,Cliente_7354,Valencia,BÃ¡sico
209,5232,E,5,272.63,2023-04-19,Centro,Tienda,131.9,1363.15,703.65,5232,Cliente_5232,Zaragoza,Standard
210,1926,D,20,373.42,2023-12-29,Oeste,Tienda,211.36,7468.400000000001,3241.2,1926,Cliente_1926,Valencia,BÃ¡sico
212,7627,C,15,446.13,2023-08-04,Oeste,Distribuidor,182.2,6691.95,3958.9500000000003,7627,Cliente_7627,Bilbao,Standard
213,6159,C,17,197.04,2023-04-15,Sur,Mayorista,119.2,3349.68,1323.2799999999997,6159,Cliente_6159,Valencia,Standard
214,8280,E,13,145.04,2023-11-06,Centro,Tienda,69.11,1885.52,987.0899999999999,8280,Cliente_8280,Sevilla,Standard
215,7803,D,9,434.77,2023-06-26,Centro,Mayorista,206.77,3912.93,2051.9999999999995,7803,Cliente_7803,Valencia,Standard
216,6091,C,9,200.27,2023-02-14,Centro,Online,96.0,1802.43,938.4300000000001,6091,Cliente_6091,MÃ¡laga,BÃ¡sico
217,3967,B,17,136.36,2023-12-01,Centro,Mayorista,59.77,2318.1200000000003,1302.03,3967,Cliente_3967,Barcelona,Premium
218,3008,B,15,335.18,2023-06-17,Norte,Tienda,164.98,5027.7,2553.0000000000005,3008,Cliente_3008,Barcelona,Standard
219,6444,A,20,124.06,2023-05-21,Este,Distribuidor,59.12,2481.2,1298.8,6444,Cliente_6444,Barcelona,Standard
220,7290,E,6,470.68,2023-08-17,Norte,Tienda,239.83,2824.08,1385.1,7290,Cliente_7290,Valencia,Premium
221,7190,D,5,427.02,2023-09-07,Centro,Distribuidor,277.54,2135.1,747.3999999999999,7190,Cliente_7190,MÃ¡laga,BÃ¡sico
222,8837,D,16,255.23,2023-08-13,Este,Online,110.31,4083.68,2318.72,8837,Cliente_8837,Valencia,BÃ¡sico
223,499,D,10,334.02,2023-10-01,Este,Distribuidor,210.16,3340.2,1238.6,499,Cliente_499,Sevilla,Standard
224,6640,C,13,108.57,2023-02-17,Centro,Distribuidor,66.09,1411.4099999999999,552.2399999999999,6640,Cliente_6640,Barcelona,Premium
225,5672,A,4,120.19,2023-05-31,Norte,Online,42.08,480.76,312.44,5672,Cliente_5672,Sevilla,Premium
226,10089,E,15,253.39,2023-01-25,Centro,Distribuidor,119.32,3800.85,2011.05,,,,
227,1771,D,8,460.76,2023-07-29,Norte,Tienda,285.65,3686.08,1400.88,1771,Cliente_1771,Sevilla,Standard
228,5734,D,19,285.5,2023-08-26,Norte,Tienda,178.7,5424.5,2029.2000000000003,5734,Cliente_5734,Bilbao,Premium
229,5485,B,5,187.95,2023-07-18,Este,Tienda,76.15,939.75,558.9999999999999,5485,Cliente_5485,Sevilla,Standard
230,6322,C,11,478.62,2023-03-20,Centro,Mayorista,251.03,5264.82,2503.4900000000002,6322,Cliente_6322,Barcelona,Standard
231,3206,D,3,460.19,2023-10-06,Sur,Online,288.31,1380.57,515.64,3206,Cliente_3206,MÃ¡laga,Premium
232,2607,A,14,400.06,2023-02-12,Sur,Tienda,129.6,5600.84,3786.4400000000005,2607,Cliente_2607,Madrid,Standard
233,1348,E,19,374.63,2023-01-27,Norte,Mayorista,215.15,7117.97,3030.12,1348,Cliente_1348,Sevilla,BÃ¡sico
234,5454,B,15,183.16,2023-05-29,Sur,Online,71.72,2747.4,1671.6,5454,Cliente_5454,Zaragoza,BÃ¡sico
